2026-03-19 18:14:53  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-02  04:00–06:00 LT sector=West: ['NGS_BRIGHT (0/1)', 'NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:53  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-02 | 2026-04-02  06:00–08:00 LT | North
2026-03-19 18:14:54  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-02  06:00–08:00 LT sector=North: ['NGS_BRIGHT (0/1)', 'NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:54  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-02 | 2026-04-02  06:00–08:00 LT | South
2026-03-19 18:14:54  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-02  06:00–08:00 LT sector=South: ['NGS_BRIGHT (0/1)', 'NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:54  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-02 | 2026-04-02  06:00–08:00 LT | East
2026-03-19 18:14:54  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-02  06:00–08:00 LT sector=East: ['NGS_BRIGHT (0/1)', 'NGS_MEDIUM (0/1)', 'NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:54  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-02 | 2026-04-02  06:00–08:00 LT | West
2026-03-19 18:14:54  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-02  06:00–08:00 LT sector=West: ['NGS_BRIGHT (0/1)', 'NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:54  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-03 | 2026-04-03  20:00–22:00 LT | North
2026-03-19 18:14:54  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-03  20:00–22:00 LT sector=North: ['NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:54  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-03 | 2026-04-03  20:00–22:00 LT | South
2026-03-19 18:14:54  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-03  20:00–22:00 LT sector=South: ['NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:54  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-03 | 2026-04-03  20:00–22:00 LT | East
2026-03-19 18:14:54  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-03  20:00–22:00 LT sector=East: ['NGS_MEDIUM (0/1)', 'NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:54  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-03 | 2026-04-03  20:00–22:00 LT | West
2026-03-19 18:14:54  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-03  20:00–22:00 LT sector=West: ['NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:54  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-03 | 2026-04-03  22:00–00:00 LT | North
2026-03-19 18:14:54  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-03  22:00–00:00 LT sector=North: ['NGS_BRIGHT (0/1)', 'NGS_MEDIUM (0/1)', 'NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:54  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-03 | 2026-04-03  22:00–00:00 LT | South
2026-03-19 18:14:54  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-03  22:00–00:00 LT sector=South: ['NGS_BRIGHT (0/1)', 'NGS_MEDIUM (0/1)', 'NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:54  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-03 | 2026-04-03  22:00–00:00 LT | East
2026-03-19 18:14:55  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-03  22:00–00:00 LT sector=East: ['NGS_BRIGHT (0/1)', 'NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:55  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-03 | 2026-04-03  22:00–00:00 LT | West
2026-03-19 18:14:55  WARNING   starvisibility.scheduler  Incomplete coverage at 2026-04-03  22:00–00:00 LT sector=West: ['NGS_MEDIUM (0/1)', 'NGS_FAINT (0/1)', 'LPC (0/2)']
2026-03-19 18:14:55  DEBUG     starvisibility.scheduler  Processing: Night 2026-04-03 | 2026-04-03  00:00–02:00 LT | North
